# NA64 2.84e11 EOT, 10.1103/PhysRevLett.125.081801
# mass [GeV], photon coupling [1/GeV]
1.0015e-2, 2.3868e-4
1.0369e-2, 2.3868e-4
1.0765e-2, 2.3868e-4
1.1266e-2, 2.3868e-4
1.1853e-2, 2.3868e-4
1.2438e-2, 2.3606e-4
1.3192e-2, 2.3606e-4
1.3991e-2, 2.3346e-4
1.4919e-2, 2.3346e-4
1.5655e-2, 2.3346e-4
1.6515e-2, 2.3346e-4
1.7376e-2, 2.3090e-4
1.8282e-2, 2.3090e-4
1.9547e-2, 2.3090e-4
2.0843e-2, 2.2836e-4
2.1930e-2, 2.2836e-4
2.3509e-2, 2.2836e-4
2.4801e-2, 2.2836e-4
2.6164e-2, 2.2585e-4
2.7602e-2, 2.2337e-4
2.8809e-2, 2.2585e-4
3.0392e-2, 2.2337e-4
3.1721e-2, 2.2337e-4
3.2932e-2, 2.2337e-4
3.4188e-2, 2.2337e-4
3.5683e-2, 2.2091e-4
3.7948e-2, 2.2091e-4
4.0572e-2, 2.2337e-4
4.2916e-2, 2.2585e-4
4.5154e-2, 2.2836e-4
4.7508e-2, 2.3090e-4
4.9057e-2, 2.3090e-4
5.0387e-2, 2.3346e-4
5.1615e-2, 2.3606e-4
5.2731e-2, 2.3868e-4
5.3727e-2, 2.4402e-4
5.4304e-2, 2.5504e-4
5.4888e-2, 2.6953e-4
5.4886e-2, 2.9121e-4
5.4884e-2, 3.1813e-4
5.4737e-2, 3.3620e-4
5.4298e-2, 3.5925e-4
5.3863e-2, 3.8388e-4
5.3289e-2, 4.0568e-4
5.2720e-2, 4.3350e-4
5.2158e-2, 4.5309e-4
5.1464e-2, 4.8415e-4
5.0238e-2, 5.4072e-4
4.9042e-2, 5.9070e-4
4.8002e-2, 6.4530e-4
4.6859e-2, 7.0495e-4
4.5620e-2, 7.7011e-4
4.4534e-2, 8.4129e-4
4.3010e-2, 9.3959e-4
4.1650e-2, 1.0264e-3
4.0118e-2, 1.1464e-3
3.8230e-2, 1.3089e-3
3.6431e-2, 1.5112e-3
3.4347e-2, 1.7836e-3
3.2731e-2, 2.0365e-3
3.1527e-2, 2.2745e-3
2.9723e-2, 2.7144e-3
2.8630e-2, 2.9983e-3
2.7429e-2, 3.3858e-3
2.6420e-2, 3.7814e-3
2.5448e-2, 4.2233e-3
2.4776e-2, 4.5128e-3
2.3864e-2, 5.0401e-3
2.3171e-2, 5.5060e-3
2.2499e-2, 6.0149e-3
2.1671e-2, 6.7177e-3
2.0874e-2, 7.3387e-3
1.9999e-2, 8.1962e-3
1.9160e-2, 9.1539e-3
1.8308e-2, 1.0223e-2
1.7493e-2, 1.1418e-2
1.6715e-2, 1.2752e-2
1.5801e-2, 1.4561e-2
1.5098e-2, 1.6262e-2
1.4234e-2, 1.8568e-2
1.3492e-2, 2.0738e-2
1.2619e-2, 2.4207e-2
1.2025e-2, 2.7036e-2
1.1460e-2, 3.0195e-2
1.0920e-2, 3.3723e-2
1.0519e-2, 3.6840e-2
1.0241e-2, 3.9366e-2
1.0024e-2, 4.1145e-2

